Date,Message,Admin,
08/31/2026 18:32:56,Identity status for User:(6771616), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:32:56,KYC status for User:(6771616), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:32:20,Identity status for User:(6771617), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:32:20,KYC status for User:(6771617), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:31:54,Identity status for User:(6771618), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:31:54,KYC status for User:(6771618), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:30:48,KYC status for User:(6771620), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:30:48,Identity status for User:(6771620), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:27:45,Identity status for User:(6258967), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:27:45,KYC status for User:(6258967), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:27:19,KYC status for User:(6265543), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:27:19,Identity status for User:(6265543), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:27:05,Identity status for User:(6274224), was changed to Approved by d.francisco.,d.francisco
08/31/2026 18:27:05,KYC status for User:(6274224), was changed to Approved by d.francisco.,d.francisco
08/31/2026 18:26:54,Player profile (244958891921 - 6274224) was modified.,d.francisco,
08/31/2026 18:25:55,Identity status for User:(6539464), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:25:55,KYC status for User:(6539464), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:25:30,Identity status for User:(6550763), was changed to Approved by d.francisco.,d.francisco
08/31/2026 18:25:30,KYC status for User:(6550763), was changed to Approved by d.francisco.,d.francisco
08/31/2026 18:25:20,Player profile (244925738426 - 6550763) was modified.,d.francisco,
08/31/2026 18:24:51,KYC status for User:(6713228), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:24:51,Identity status for User:(6713228), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:24:30,KYC status for User:(6770689), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:24:30,Identity status for User:(6770689), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:24:07,Identity status for User:(6771089), was changed to Review by d.francisco.,d.francisco
08/31/2026 18:24:07,KYC status for User:(6771089), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:23:36,Identity status for User:(6771091), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:23:36,KYC status for User:(6771091), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:23:08,KYC status for User:(6771098), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:23:08,Identity status for User:(6771098), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:22:00,KYC status for User:(6771105), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:22:00,Identity status for User:(6771105), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:21:35,Identity status for User:(6771123), was changed to Approved by d.francisco.,d.francisco
08/31/2026 18:21:35,KYC status for User:(6771123), was changed to Approved by d.francisco.,d.francisco
08/31/2026 18:21:26,Player profile (244923968330 - 6771123) was modified.,d.francisco,
08/31/2026 18:20:57,Identity status for User:(6771124), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:20:57,KYC status for User:(6771124), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:19:19,Identity status for User:(6771133), was changed to Rejected by d.francisco.,d.francisco
08/31/2026 18:19:19,KYC status for User:(6771133), was changed to Rejected by d.francisco.,d.francisco
